cust_id,DOB,Customer Year,Customer Age,Gender,City,Cat _SubCat
266783,01-05-1974,1974,39,M,4,Clothing  Mens
266783,01-05-1974,1974,39,M,4,Books  Non-Fiction
266783,01-05-1974,1974,38,M,4,Clothing  Mens
266783,01-05-1974,1974,37,M,4,Footwear  Mens
266783,01-05-1974,1974,37,M,4,Footwear  Mens
266784,13-12-1991,1991,21,F,10,Electronics  Mobiles
266784,13-12-1991,1991,21,F,10,Books  Fiction
266784,13-12-1991,1991,21,F,10,Books  Non-Fiction
266785,29-06-1985,1985,28,F,3,Bags  Mens
266785,29-06-1985,1985,28,F,3,Footwear  Mens
266785,29-06-1985,1985,27,F,3,Footwear  Mens
266785,29-06-1985,1985,27,F,3,Home and kitchen  Kitchen
266785,29-06-1985,1985,27,F,3,Home and kitchen  Kitchen
266785,29-06-1985,1985,27,F,3,Books  Children
266785,29-06-1985,1985,26,F,3,Footwear  Kids
266785,29-06-1985,1985,26,F,3,Footwear  Kids
266788,20-03-1972,1972,41,F,2,Footwear  Mens
266788,20-03-1972,1972,40,F,2,Bags  Mens
266788,20-03-1972,1972,39,F,2,Footwear  Kids
266788,20-03-1972,1972,39,F,2,Books  Fiction
266794,28-02-1971,1971,42,F,9,Electronics  Audio and video
266794,28-02-1971,1971,42,F,9,Electronics  Audio and video
266794,28-02-1971,1971,41,F,9,Electronics  Personal Appliances
266794,28-02-1971,1971,41,F,9,Electronics  Audio and video
266794,28-02-1971,1971,41,F,9,Footwear  Women
266794,28-02-1971,1971,41,F,9,Clothing  Kids
266794,28-02-1971,1971,40,F,9,Bags  Mens
266794,28-02-1971,1971,40,F,9,Books  Academic
266794,28-02-1971,1971,40,F,9,Bags  Women
266794,28-02-1971,1971,40,F,9,Books  Children
266794,28-02-1971,1971,40,F,9,Clothing  Kids
266799,16-03-1970,1970,43,F,5,Books  Non-Fiction
266799,16-03-1970,1970,42,F,5,Electronics  Computers
266803,23-06-1988,1988,24,F,1,Books  DIY
266804,14-07-1979,1979,34,M,10,Electronics  Computers
266805,07-01-1976,1976,37,F,8,Electronics  Personal Appliances
266806,08-12-1991,1991,22,F,10,Clothing  Mens
266806,08-12-1991,1991,22,F,10,Home and kitchen  Furnishing
266806,08-12-1991,1991,21,F,10,Bags  Women
266806,08-12-1991,1991,21,F,10,Home and kitchen  Tools
266806,08-12-1991,1991,21,F,10,Footwear  Mens
266806,08-12-1991,1991,21,F,10,Books  Non-Fiction
266807,13-09-1988,1988,24,M,4,Clothing  Mens
266807,13-09-1988,1988,24,M,4,Electronics  Audio and video
266807,13-09-1988,1988,23,M,4,Bags  Mens
266807,13-09-1988,1988,23,M,4,Electronics  Cameras
266809,26-02-1980,1980,33,F,3,Books  Fiction
266809,26-02-1980,1980,33,F,3,Footwear  Women
266809,26-02-1980,1980,32,F,3,Footwear  Mens
266809,26-02-1980,1980,31,F,3,Footwear  Kids
266809,26-02-1980,1980,31,F,3,Clothing  Kids
266810,16-08-1981,1981,32,F,3,Books  Fiction
266810,16-08-1981,1981,32,F,3,Home and kitchen  Tools
266810,16-08-1981,1981,31,F,3,Clothing  Mens
266810,16-08-1981,1981,30,F,3,Electronics  Cameras
266810,16-08-1981,1981,30,F,3,Clothing  Mens
266812,26-11-1982,1982,29,M,5,Electronics  Personal Appliances
266812,26-11-1982,1982,29,M,5,Books  Fiction
266814,18-10-1982,1982,31,F,9,Home and kitchen  Tools
266814,18-10-1982,1982,31,F,9,Bags  Mens
266814,18-10-1982,1982,30,F,9,Home and kitchen  Bath
266814,18-10-1982,1982,30,F,9,Home and kitchen  Tools
266814,18-10-1982,1982,30,F,9,Electronics  Personal Appliances
266815,07-08-1973,1973,40,F,4,Electronics  Audio and video
266815,07-08-1973,1973,39,F,4,Electronics  Mobiles
266815,07-08-1973,1973,39,F,4,Electronics  Audio and video
266816,15-11-1974,1974,39,M,6,Footwear  Mens
266816,15-11-1974,1974,39,M,6,Footwear  Mens
266816,15-11-1974,1974,39,M,6,Electronics  Personal Appliances
266816,15-11-1974,1974,38,M,6,Books  Children
266816,15-11-1974,1974,37,M,6,Home and kitchen  Bath
266816,15-11-1974,1974,37,M,6,Clothing  Women
266817,28-10-1980,1980,32,F,5,Home and kitchen  Furnishing
266817,28-10-1980,1980,32,F,5,Footwear  Kids
266817,28-10-1980,1980,32,F,5,Electronics  Personal Appliances
266818,08-10-1981,1981,32,F,2,Clothing  Mens
266818,08-10-1981,1981,31,F,2,Books  Children
266818,08-10-1981,1981,31,F,2,Home and kitchen  Kitchen
266818,08-10-1981,1981,31,F,2,Home and kitchen  Kitchen
266818,08-10-1981,1981,30,F,2,Electronics  Computers
266819,22-07-1982,1982,31,M,8,Electronics  Computers
266819,22-07-1982,1982,31,M,8,Bags  Women
266819,22-07-1982,1982,29,M,8,Electronics  Cameras
266820,16-04-1978,1978,35,F,5,Clothing  Mens
266820,16-04-1978,1978,34,F,5,Footwear  Women
266820,16-04-1978,1978,33,F,5,Electronics  Computers
266821,27-12-1991,1991,21,M,5,Home and kitchen  Tools
266821,27-12-1991,1991,21,M,5,Footwear  Women
266821,27-12-1991,1991,21,M,5,Clothing  Kids
266822,20-09-1970,1970,43,F,9,Electronics  Personal Appliances
266822,20-09-1970,1970,43,F,9,Electronics  Cameras
266822,20-09-1970,1970,43,F,9,Clothing  Women
266822,20-09-1970,1970,43,F,9,Books  Academic
266822,20-09-1970,1970,43,F,9,Books  Academic
266822,20-09-1970,1970,42,F,9,Bags  Mens
266822,20-09-1970,1970,41,F,9,Electronics  Mobiles
266822,20-09-1970,1970,41,F,9,Books  Comics
266822,20-09-1970,1970,41,F,9,Electronics  Cameras
266822,20-09-1970,1970,41,F,9,Electronics  Cameras
266823,03-06-1986,1986,27,M,3,Books  Non-Fiction
266823,03-06-1986,1986,27,M,3,Electronics  Audio and video
266823,03-06-1986,1986,26,M,3,Electronics  Audio and video
266824,04-06-1973,1973,40,M,7,Electronics  Audio and video
266824,04-06-1973,1973,40,M,7,Electronics  Cameras
266824,04-06-1973,1973,38,M,7,Clothing  Mens
266824,04-06-1973,1973,38,M,7,Books  DIY
266825,21-11-1992,1992,21,F,8,Electronics  Computers
266825,21-11-1992,1992,20,F,8,Clothing  Kids
266825,21-11-1992,1992,20,F,8,Clothing  Kids
266825,21-11-1992,1992,19,F,8,Books  DIY
266827,04-11-1977,1977,36,F,7,Electronics  Personal Appliances
266827,04-11-1977,1977,36,F,7,Books  Comics
266827,04-11-1977,1977,35,F,7,Footwear  Women
266827,04-11-1977,1977,35,F,7,Home and kitchen  Bath
266827,04-11-1977,1977,34,F,7,Bags  Mens
266829,25-06-1976,1976,37,F,4,Home and kitchen  Kitchen
266829,25-06-1976,1976,37,F,4,Electronics  Cameras
266829,25-06-1976,1976,35,F,4,Footwear  Women
266830,13-05-1985,1985,28,M,1,Clothing  Mens
266830,13-05-1985,1985,27,M,1,Home and kitchen  Tools
266830,13-05-1985,1985,26,M,1,Footwear  Mens
266831,08-10-1978,1978,33,M,6,Footwear  Mens
266833,09-03-1990,1990,22,F,7,Books  Non-Fiction
266833,09-03-1990,1990,21,F,7,Books  Children
266833,09-03-1990,1990,21,F,7,Books  Children
266835,16-02-1987,1987,26,F,1,Electronics  Mobiles
266835,16-02-1987,1987,25,F,1,Clothing  Women
266835,16-02-1987,1987,24,F,1,Footwear  Kids
266836,21-11-1973,1973,39,F,7,Footwear  Mens
266836,21-11-1973,1973,38,F,7,Clothing  Mens
266836,21-11-1973,1973,38,F,7,Footwear  Kids
266836,21-11-1973,1973,38,F,7,Clothing  Mens
266838,14-11-1974,1974,38,M,4,Clothing  Women
266841,02-03-1991,1991,22,M,1,Books  Comics
266841,02-03-1991,1991,21,M,1,Bags  Women
266841,02-03-1991,1991,21,M,1,Home and kitchen  Kitchen
266841,02-03-1991,1991,20,M,1,Home and kitchen  Tools
266841,02-03-1991,1991,20,M,1,Electronics  Audio and video
266842,15-05-1984,1984,29,F,1,Books  Non-Fiction
266842,15-05-1984,1984,28,F,1,Clothing  Kids
266842,15-05-1984,1984,27,F,1,Electronics  Mobiles
266843,02-01-1987,1987,26,F,5,Electronics  Audio and video
266843,02-01-1987,1987,25,F,5,Books  Fiction
266843,02-01-1987,1987,24,F,5,Home and kitchen  Bath
266843,02-01-1987,1987,24,F,5,Footwear  Women
266843,02-01-1987,1987,24,F,5,Home and kitchen  Kitchen
266844,03-10-1986,1986,27,M,5,Books  Non-Fiction
266844,03-10-1986,1986,26,M,5,Footwear  Mens
266845,19-05-1990,1990,21,F,1,Bags  Mens
266845,19-05-1990,1990,21,F,1,Bags  Mens
266845,19-05-1990,1990,21,F,1,Bags  Mens
266845,19-05-1990,1990,21,F,1,Clothing  Mens
266846,24-04-1979,1979,34,M,2,Electronics  Mobiles
266846,24-04-1979,1979,34,M,2,Books  Academic
266846,24-04-1979,1979,34,M,2,Electronics  Personal Appliances
266846,24-04-1979,1979,33,M,2,Clothing  Mens
266846,24-04-1979,1979,33,M,2,Home and kitchen  Bath
266847,24-01-1990,1990,23,F,7,Electronics  Audio and video
266847,24-01-1990,1990,22,F,7,Electronics  Computers
266848,07-10-1987,1987,24,F,10,Electronics  Computers
266849,12-10-1979,1979,32,M,1,Home and kitchen  Tools
266849,12-10-1979,1979,32,M,1,Footwear  Kids
266851,28-09-1986,1986,27,M,8,Books  Non-Fiction
266851,28-09-1986,1986,25,M,8,Books  Children
266852,15-01-1990,1990,23,M,5,Clothing  Kids
266852,15-01-1990,1990,22,M,5,Footwear  Women
266852,15-01-1990,1990,22,M,5,Home and kitchen  Furnishing
266852,15-01-1990,1990,21,M,5,Electronics  Personal Appliances
266852,15-01-1990,1990,21,M,5,Electronics  Personal Appliances
266852,15-01-1990,1990,21,M,5,Electronics  Personal Appliances
266852,15-01-1990,1990,21,M,5,Electronics  Personal Appliances
266853,18-09-1990,1990,23,M,6,Clothing  Women
266853,18-09-1990,1990,23,M,6,Electronics  Computers
266853,18-09-1990,1990,21,M,6,Home and kitchen  Bath
266854,04-09-1971,1971,42,M,5,Books  Children
266854,04-09-1971,1971,41,M,5,Bags  Women
266854,04-09-1971,1971,41,M,5,Electronics  Computers
266854,04-09-1971,1971,41,M,5,Electronics  Cameras
266854,04-09-1971,1971,40,M,5,Clothing  Mens
266855,16-06-1972,1972,41,M,10,Clothing  Kids
266855,16-06-1972,1972,39,M,10,Books  Children
266855,16-06-1972,1972,39,M,10,Home and kitchen  Kitchen
266855,16-06-1972,1972,39,M,10,Electronics  Computers
266856,11-10-1985,1985,27,M,1,Home and kitchen  Kitchen
266856,11-10-1985,1985,27,M,1,Footwear  Women
266856,11-10-1985,1985,26,M,1,Electronics  Cameras
266856,11-10-1985,1985,26,M,1,Books  Non-Fiction
266857,18-09-1985,1985,28,F,1,Bags  Mens
266857,18-09-1985,1985,28,F,1,Electronics  Personal Appliances
266857,18-09-1985,1985,27,F,1,Home and kitchen  Furnishing
266857,18-09-1985,1985,26,F,1,Footwear  Women
266857,18-09-1985,1985,26,F,1,Bags  Women
266857,18-09-1985,1985,26,F,1,Bags  Women
266858,25-02-1987,1987,26,M,1,Home and kitchen  Kitchen
266858,25-02-1987,1987,24,M,1,Books  DIY
266860,18-07-1991,1991,22,F,3,Books  Comics
266860,18-07-1991,1991,21,F,3,Footwear  Women
266861,14-12-1978,1978,35,M,7,Footwear  Kids
266862,24-04-1970,1970,43,F,5,Books  DIY
266862,24-04-1970,1970,43,F,5,Electronics  Audio and video
266862,24-04-1970,1970,42,F,5,Books  Children
266862,24-04-1970,1970,41,F,5,Home and kitchen  Furnishing
266863,17-11-1972,1972,41,M,6,Books  DIY
266863,17-11-1972,1972,41,M,6,Electronics  Personal Appliances
266863,17-11-1972,1972,39,M,6,Electronics  Cameras
266864,08-05-1991,1991,22,F,3,Clothing  Mens
266864,08-05-1991,1991,21,F,3,Footwear  Women
266864,08-05-1991,1991,21,F,3,Footwear  Women
266864,08-05-1991,1991,21,F,3,Books  Comics
266864,08-05-1991,1991,21,F,3,Footwear  Mens
266864,08-05-1991,1991,20,F,3,Home and kitchen  Furnishing
266865,15-09-1984,1984,28,M,9,Bags  Women
266865,15-09-1984,1984,28,M,9,Home and kitchen  Furnishing
266865,15-09-1984,1984,28,M,9,Electronics  Personal Appliances
266865,15-09-1984,1984,27,M,9,Footwear  Kids
