prod_subcat_code,prod_subcat,prod_cat_code,prod_cat
4,Mens,1,Clothing
10,Non-Fiction,5,Books
4,Mens,1,Clothing
1,Mens,2,Footwear
1,Mens,2,Footwear
4,Mobiles,3,Electronics
7,Fiction,5,Books
10,Non-Fiction,5,Books
1,Mens,4,Bags
1,Mens,2,Footwear
1,Mens,2,Footwear
10,Kitchen,6,Home and kitchen
10,Kitchen,6,Home and kitchen
11,Children,5,Books
4,Kids,2,Footwear
4,Kids,2,Footwear
1,Mens,2,Footwear
1,Mens,4,Bags
4,Kids,2,Footwear
7,Fiction,5,Books
10,Audio and video,3,Electronics
10,Audio and video,3,Electronics
8,Personal Appliances,3,Electronics
10,Audio and video,3,Electronics
3,Women,2,Footwear
3,Kids,1,Clothing
1,Mens,4,Bags
12,Academic,5,Books
4,Women,4,Bags
11,Children,5,Books
3,Kids,1,Clothing
10,Non-Fiction,5,Books
5,Computers,3,Electronics
6,DIY,5,Books
5,Computers,3,Electronics
8,Personal Appliances,3,Electronics
4,Mens,1,Clothing
2,Furnishing,6,Home and kitchen
4,Women,4,Bags
12,Tools,6,Home and kitchen
1,Mens,2,Footwear
10,Non-Fiction,5,Books
4,Mens,1,Clothing
10,Audio and video,3,Electronics
1,Mens,4,Bags
9,Cameras,3,Electronics
7,Fiction,5,Books
3,Women,2,Footwear
1,Mens,2,Footwear
4,Kids,2,Footwear
3,Kids,1,Clothing
7,Fiction,5,Books
12,Tools,6,Home and kitchen
4,Mens,1,Clothing
9,Cameras,3,Electronics
4,Mens,1,Clothing
8,Personal Appliances,3,Electronics
7,Fiction,5,Books
12,Tools,6,Home and kitchen
1,Mens,4,Bags
11,Bath,6,Home and kitchen
12,Tools,6,Home and kitchen
8,Personal Appliances,3,Electronics
10,Audio and video,3,Electronics
4,Mobiles,3,Electronics
10,Audio and video,3,Electronics
1,Mens,2,Footwear
1,Mens,2,Footwear
8,Personal Appliances,3,Electronics
11,Children,5,Books
11,Bath,6,Home and kitchen
1,Women,1,Clothing
2,Furnishing,6,Home and kitchen
4,Kids,2,Footwear
8,Personal Appliances,3,Electronics
4,Mens,1,Clothing
11,Children,5,Books
10,Kitchen,6,Home and kitchen
10,Kitchen,6,Home and kitchen
5,Computers,3,Electronics
5,Computers,3,Electronics
4,Women,4,Bags
9,Cameras,3,Electronics
4,Mens,1,Clothing
3,Women,2,Footwear
5,Computers,3,Electronics
12,Tools,6,Home and kitchen
3,Women,2,Footwear
3,Kids,1,Clothing
8,Personal Appliances,3,Electronics
9,Cameras,3,Electronics
1,Women,1,Clothing
12,Academic,5,Books
12,Academic,5,Books
1,Mens,4,Bags
4,Mobiles,3,Electronics
3,Comics,5,Books
9,Cameras,3,Electronics
9,Cameras,3,Electronics
10,Non-Fiction,5,Books
10,Audio and video,3,Electronics
10,Audio and video,3,Electronics
10,Audio and video,3,Electronics
9,Cameras,3,Electronics
4,Mens,1,Clothing
6,DIY,5,Books
5,Computers,3,Electronics
3,Kids,1,Clothing
3,Kids,1,Clothing
6,DIY,5,Books
8,Personal Appliances,3,Electronics
3,Comics,5,Books
3,Women,2,Footwear
11,Bath,6,Home and kitchen
1,Mens,4,Bags
10,Kitchen,6,Home and kitchen
9,Cameras,3,Electronics
3,Women,2,Footwear
4,Mens,1,Clothing
12,Tools,6,Home and kitchen
1,Mens,2,Footwear
1,Mens,2,Footwear
10,Non-Fiction,5,Books
11,Children,5,Books
11,Children,5,Books
4,Mobiles,3,Electronics
1,Women,1,Clothing
4,Kids,2,Footwear
1,Mens,2,Footwear
4,Mens,1,Clothing
4,Kids,2,Footwear
4,Mens,1,Clothing
1,Women,1,Clothing
3,Comics,5,Books
4,Women,4,Bags
10,Kitchen,6,Home and kitchen
12,Tools,6,Home and kitchen
10,Audio and video,3,Electronics
10,Non-Fiction,5,Books
3,Kids,1,Clothing
4,Mobiles,3,Electronics
10,Audio and video,3,Electronics
7,Fiction,5,Books
11,Bath,6,Home and kitchen
3,Women,2,Footwear
10,Kitchen,6,Home and kitchen
10,Non-Fiction,5,Books
1,Mens,2,Footwear
1,Mens,4,Bags
1,Mens,4,Bags
1,Mens,4,Bags
4,Mens,1,Clothing
4,Mobiles,3,Electronics
12,Academic,5,Books
8,Personal Appliances,3,Electronics
4,Mens,1,Clothing
11,Bath,6,Home and kitchen
10,Audio and video,3,Electronics
5,Computers,3,Electronics
5,Computers,3,Electronics
12,Tools,6,Home and kitchen
4,Kids,2,Footwear
10,Non-Fiction,5,Books
11,Children,5,Books
3,Kids,1,Clothing
3,Women,2,Footwear
2,Furnishing,6,Home and kitchen
8,Personal Appliances,3,Electronics
8,Personal Appliances,3,Electronics
8,Personal Appliances,3,Electronics
8,Personal Appliances,3,Electronics
1,Women,1,Clothing
5,Computers,3,Electronics
11,Bath,6,Home and kitchen
11,Children,5,Books
4,Women,4,Bags
5,Computers,3,Electronics
9,Cameras,3,Electronics
4,Mens,1,Clothing
3,Kids,1,Clothing
11,Children,5,Books
10,Kitchen,6,Home and kitchen
5,Computers,3,Electronics
10,Kitchen,6,Home and kitchen
3,Women,2,Footwear
